"om","date","fips"
426570,2012-12-25,48225
421974,2012-12-25,22079
421978,2012-12-25,22079
423982,2012-12-25,28041
423982,2012-12-25,28109
420473,2012-12-25,28077
422371,2012-12-25,1023
422348,2012-12-25,1097
422499,2012-12-25,1025
425352,2012-12-25,1085
425358,2012-12-25,1109
360514,2012-01-11,37161
360515,2012-01-11,37023
354252,2012-01-17,21213
356848,2012-01-17,28091
355489,2012-01-22,5013
355495,2012-01-22,5069
355500,2012-01-22,5001
356524,2012-01-22,17193
356944,2012-01-22,28011
362758,2012-01-23,1125
362778,2012-01-23,1125
362779,2012-01-23,1125
364295,2012-01-23,1073
364350,2012-01-23,1105
358537,2012-02-24,45003
359087,2012-02-28,20197
364185,2012-02-28,29167
363341,2012-02-29,29009
364194,2012-02-29,29209
365575,2012-02-29,29123
368234,2012-02-29,29017
359708,2012-02-29,29000
359708,2012-02-29,29031
359709,2012-02-29,29207
359708,2012-02-29,17181
359690,2012-02-29,17199
359691,2012-02-29,17165
359692,2012-02-29,17000
359692,2012-02-29,17153
359692,2012-02-29,21007
359735,2012-02-29,21177
359078,2012-02-29,21093
359079,2012-02-29,21085
359080,2012-02-29,21123
359081,2012-02-29,21123
361724,2012-02-29,21175
359076,2012-02-29,21207
362596,2012-02-29,47035
367125,2012-02-03,48051
362955,2012-03-15,26161
362964,2012-03-15,26087
364383,2012-03-18,31111
364385,2012-03-18,31111
364386,2012-03-18,31111
364618,2012-03-18,48135
368119,2012-03-19,48325
367954,2012-03-19,48029
366418,2012-03-21,22113
365929,2012-03-21,28021
365948,2012-03-21,28121
374200,2012-03-23,17081
361096,2012-03-02,1083
361143,2012-03-02,1089
374002,2012-03-02,47065
373982,2012-03-02,18129
374085,2012-03-02,47123
374012,2012-03-02,21225
359896,2012-03-02,18000
359896,2012-03-02,18175
359389,2012-03-02,21223
359384,2012-03-02,21091
359896,2012-03-02,21223
369148,2012-03-02,18137
369205,2012-03-02,21081
369180,2012-03-02,21187
369380,2012-03-02,21000
369380,2012-03-02,21037
369380,2012-03-02,39025
370174,2012-03-02,39001
368695,2012-03-02,21000
368695,2012-03-02,21165
368695,2012-03-02,21127
367960,2012-03-02,47087
369877,2012-03-02,47133
368695,2012-03-02,54099
368709,2012-03-02,21000
368709,2012-03-02,21237
368708,2012-03-02,21125
368709,2012-03-02,54059
366756,2012-03-02,37039
365183,2012-03-02,13143
366728,2012-03-02,47025
374379,2012-03-02,1021
374385,2012-03-02,1123
371919,2012-03-03,37119
360326,2012-03-03,13185
365587,2012-04-14,31097
365649,2012-04-14,19071
366377,2012-04-14,20159
366995,2012-04-14,19003
380694,2012-04-14,20097
380707,2012-04-14,20185
366415,2012-04-14,20191
366421,2012-04-14,20173
378787,2012-04-14,40045
378297,2012-04-26,47023
375372,2012-04-27,8011
375373,2012-04-27,8099
375374,2012-04-27,8099
375376,2012-04-27,8061
380726,2012-04-30,20033
377593,2012-04-03,48139
378595,2012-04-03,48439
377573,2012-04-03,48257
377580,2012-04-03,48397
385726,2012-05-10,48089
372112,2012-05-19,20077
372114,2012-05-19,20077
373425,2012-05-24,31141
395046,2012-05-25,20165
374117,2012-05-25,20167
395066,2012-05-25,20165
395069,2012-05-25,20165
380011,2012-05-01,40035
383794,2012-05-03,19087
393342,2012-06-22,46047
380273,2012-06-24,12105
384508,2012-06-04,29201
377624,2012-06-07,56031
387851,2012-06-07,8039
410072,2012-08-30,28059
413984,2012-09-01,5021
400292,2012-09-04,55043
477104,2013-10-31,29207
472673,2013-10-03,31109
474503,2013-10-04,31003
472670,2013-10-04,31179
473017,2013-10-04,31107
472671,2013-10-04,31000
472671,2013-10-04,31173
472671,2013-10-04,19133
476100,2013-10-04,19193
483766,2013-11-17,17143
483775,2013-11-17,17179
482450,2013-11-17,17189
484027,2013-11-17,17063
482459,2013-11-17,17051
484032,2013-11-17,17197
483864,2013-11-17,17041
483893,2013-11-17,17019
483896,2013-11-17,17183
480997,2013-11-17,29201
482626,2013-11-17,17191
485057,2013-11-17,18165
482620,2013-11-17,17191
485110,2013-11-17,18045
482623,2013-11-17,17047
484082,2013-11-17,18007
482625,2013-11-17,17185
483207,2013-11-17,18181
482746,2013-11-17,18157
485133,2013-11-17,18181
485368,2013-11-17,18157
482009,2013-11-17,18083
480993,2013-11-17,21145
480993,2013-11-17,21000
485095,2013-11-17,18023
482727,2013-11-17,18027
480993,2013-11-17,17127
482768,2013-11-17,18067
480993,2013-11-17,21139
482729,2013-11-17,18011
480965,2013-11-17,21225
485933,2013-11-17,18053
479303,2013-11-17,18169
480994,2013-11-17,21107
483071,2013-11-17,39137
486098,2013-11-17,39173
480007,2013-11-26,37031
484464,2013-12-21,5123
483368,2013-12-21,5000
483368,2013-12-21,28011
484469,2013-12-21,28027
422504,2013-01-12,21139
422660,2013-01-29,5033
424852,2013-01-29,29023
424161,2013-01-29,22123
424803,2013-01-29,17165
424828,2013-01-30,21047
424832,2013-01-30,21177
428321,2013-01-30,47081
432103,2013-01-30,47147
428677,2013-01-30,47189
421959,2013-01-30,21227
428260,2013-01-30,13015
432823,2013-02-10,28091
433413,2013-02-10,28073
431373,2013-02-21,28065
439551,2013-03-18,1095
439579,2013-03-18,1049
436984,2013-03-18,13199
434170,2013-04-10,5141
434172,2013-04-10,5065
444534,2013-04-10,29189
439748,2013-04-11,28069
439748,2013-04-11,28000
449849,2013-04-11,1087
436304,2013-04-18,40041
444681,2013-04-19,13217
448010,2013-04-27,28107
443090,2013-05-15,48221
443356,2013-05-15,48251
457695,2013-05-18,20145
441880,2013-05-19,20173
451533,2013-05-19,40109
451505,2013-05-19,40027
451515,2013-05-19,40125
451537,2013-05-20,40087
455290,2013-05-20,40115
452529,2013-05-20,17117
450326,2013-05-27,20183
450296,2013-05-27,31035
445359,2013-05-27,31095
442927,2013-05-27,20117
443113,2013-05-28,20131
443197,2013-05-28,20143
443079,2013-05-28,26049
443087,2013-05-28,26049
445879,2013-05-29,36057
444304,2013-05-30,5097
444329,2013-05-30,5109
444288,2013-05-30,40000
444288,2013-05-30,5113
455314,2013-05-30,40143
453682,2013-05-31,40017
453691,2013-05-31,40017
462224,2013-05-31,29183
461832,2013-05-31,29000
461832,2013-05-31,17119
460730,2013-05-31,17117
445621,2013-06-10,21141
446146,2013-06-12,19197
446149,2013-06-12,19069
450890,2013-06-12,17015
450771,2013-06-19,48219
449729,2013-06-26,21123
470482,2013-07-15,30085
459296,2013-07-22,27087
459591,2013-08-06,55135
473963,2013-09-20,28001
543173,2014-10-13,5081
543201,2014-10-13,22073
545772,2014-10-13,17173
539166,2014-10-07,54081
547725,2014-11-17,12013
549156,2014-12-23,22105
552175,2014-12-23,28091
552705,2014-12-23,28067
547863,2014-12-29,13185
503087,2014-02-20,17149
503088,2014-02-20,17135
490197,2014-02-21,1049
501876,2014-02-21,13175
504829,2014-03-27,29061
512776,2014-04-25,37015
512776,2014-04-25,37029
512777,2014-04-25,37041
505634,2014-04-25,37147
505635,2014-04-25,37013
505204,2014-04-27,40000
505204,2014-04-27,40115
505204,2014-04-27,20021
506191,2014-04-27,20011
504831,2014-04-27,20107
504758,2014-04-27,5119
504764,2014-04-27,5145
506752,2014-04-28,22017
515209,2014-04-28,28081
508155,2014-04-28,28079
505288,2014-04-28,1083
515614,2014-04-28,47131
515614,2014-04-28,47000
508289,2014-04-28,28087
511201,2014-04-28,13285
505227,2014-04-28,47103
508387,2014-04-28,28049
516084,2014-04-28,28087
516084,2014-04-28,28000
516084,2014-04-28,1107
516099,2014-04-28,28123
505228,2014-04-28,47103
516115,2014-04-28,28101
505320,2014-04-28,1043
516624,2014-04-28,28067
514053,2014-04-28,28153
522952,2014-04-28,1073
523012,2014-04-28,1073
523225,2014-04-28,1115
523242,2014-04-28,1055
505668,2014-04-28,1049
505337,2014-04-29,1049
523250,2014-04-29,1113
504239,2014-04-03,29181
507164,2014-04-07,28031
505501,2014-04-07,37013
510925,2014-05-10,29095
510467,2014-05-11,31035
510470,2014-05-11,31059
510472,2014-05-11,31059
510959,2014-05-11,31159
506837,2014-05-11,31159
506839,2014-05-11,31109
505986,2014-05-11,19077
512300,2014-05-14,21047
517945,2014-05-14,39057
513755,2014-05-22,36093
516963,2014-05-26,48227
519609,2014-05-26,38053
529456,2014-06-12,48053
530614,2014-06-13,56011
514013,2014-06-16,31167
514014,2014-06-16,31167
514026,2014-06-16,31167
514044,2014-06-16,31179
520636,2014-06-16,31071
520638,2014-06-16,31071
520651,2014-06-16,31071
518334,2014-06-16,55043
531145,2014-06-16,55025
531149,2014-06-16,55025
515637,2014-06-17,30011
514395,2014-06-17,31027
514399,2014-06-17,31027
514401,2014-06-17,31027
520531,2014-06-17,46099
524721,2014-06-18,46073
524716,2014-06-18,46073
524717,2014-06-18,46073
524719,2014-06-18,46073
531379,2014-06-29,55049
531383,2014-06-29,55049
516317,2014-06-30,19171
528410,2014-06-03,19155
510331,2014-06-03,20131
511108,2014-06-08,8093
523695,2014-07-21,27119
526284,2014-07-27,47013
535097,2014-07-28,25025
520909,2014-07-08,42113
520552,2014-07-08,36053
535602,2014-09-19,27069
533372,2014-09-04,27111
543875,2014-09-08,37061
605487,2015-10-30,48493
605508,2015-10-30,48187
609209,2015-10-31,48039
602185,2015-10-31,48201
609097,2015-11-11,19007
609116,2015-11-11,19123
609658,2015-11-16,20175
609643,2015-11-16,20101
608861,2015-11-16,48179
608856,2015-11-16,48065
608169,2015-11-16,48165
609667,2015-11-16,20069
608859,2015-11-16,48179
603782,2015-11-16,40045
606252,2015-12-12,48423
604364,2015-12-12,48339
606380,2015-12-12,40089
607010,2015-12-23,28011
610117,2015-12-23,5077
610234,2015-12-23,28137
610234,2015-12-23,28000
610234,2015-12-23,47069
607144,2015-12-23,47135
607146,2015-12-23,47181
606485,2015-12-23,1077
606485,2015-12-23,1000
607154,2015-12-23,47041
613047,2015-12-25,1073
606461,2015-12-26,48139
606471,2015-12-26,48113
606480,2015-12-26,48085
606928,2015-12-27,48203
613277,2015-12-28,5077
549233,2015-01-03,28061
555406,2015-01-04,1041
560160,2015-03-25,40117
568694,2015-03-25,40027
560783,2015-04-13,48449
561165,2015-04-19,13033
561166,2015-04-19,45003
569578,2015-04-25,21061
562238,2015-04-02,29091
560770,2015-04-09,48073
574336,2015-04-09,17103
576974,2015-05-10,46023
579375,2015-05-10,40077
